"Name","Pin","Function","Symbolic name","Direction","Mode","Pad level","Pad strength","Pin function","Pad class","Power domain","Reset state"
"P14.8","A13","ERAY1_CH0_RXD","ERAY1_CH0_RXD","Input","Pull-up","CMOS/Automotive","","","SLOW","VEXT","PU1"
"P14.9","D12","ERAY1_CH0_TXEN","ERAY1_CH0_TXEN","Output","Push-pull","CMOS/Automotive","Speed grade 4","","LVDS_RX / FAST","VEXT","PU1"
"P14.10","D11","ERAY1_CH0_TXD","ERAY1_CH0_TXD","Output","Push-pull","CMOS/Automotive","Speed grade 4","","LVDS_RX / FAST","VEXT","PU1"
"P15.0","B20","","","Input","Pull-up","CMOS/Automotive","","","FAST","VEXT","PU1"
"P15.1","A18","SDMMC4P_CLK","SDMMC4P_CLK","Output","Push-pull","CMOS/Automotive","Speed grade 4","","FAST","VEXT","PU1"
"P15.2","C19","CAN0_NODE1_TXD","CAN0_NODE1_TXD","Output","Push-pull","CMOS/Automotive","Speed grade 4","","FAST","VEXT","PU1"
"P15.3","B17","SDMMC4P_CMD","SDMMC4P_CMD","Input/Output","Pull-up / Push-pull","CMOS/Automotive","Speed grade 4","","FAST","VEXT","PU1"
"P15.4","A17","ASCLIN1_TXD","ASCLIN1_TXD","Output","Push-pull","CMOS/Automotive","Speed grade 4","","FAST","VEXT","PU1"
"P15.5","E14","ASCLIN1_RXD","ASCLIN1_RXD","Input","Pull-up","CMOS/Automotive","","","FAST","VEXT","PU1"
"P15.6","A16","QSPI2_M_TXD","QSPI2_M_TXD","Output","Push-pull","CMOS/Automotive","Speed grade 4","","FAST","VEXT","PU1"
"P15.7","D15","QSPI2_M_RXD(N)","QSPI2_M_RXD(N)","Input","Pull-up","CMOS/Automotive","","","FAST","VEXT","PU1"
"P15.8","D14","QSPI2_M_CLK","QSPI2_M_CLK","Output","Push-pull","CMOS/Automotive","Speed grade 4","","FAST","VEXT","PU1"
"P20.0","H20","ASCLIN3_TXD","ASCLIN3_TXD","Output","Push-pull","CMOS/Automotive","Speed grade 4","","FAST","VEXT","PU1"
"P20.1","G19","","","Input","Pull-up","CMOS/Automotive","","","SLOW","VEXT","PU1"
"P20.2","H19","PMS_TESTMODE","","Input","Pull-up","CMOS/Automotive","","","S","VEXT","PU"
"P20.3","G20","ASCLIN3_RXD","ASCLIN3_RXD","Input","Pull-up","CMOS/Automotive","","","SLOW","VEXT","PU1"
"P20.6","F17","ASCLIN9_RXD","ASCLIN9_RXD","Input","Pull-up","CMOS/Automotive","","","SLOW","VEXT","PU1"
"P20.7","F19","SDMMC4P_DATA0IN / SDMMC4P_D0","SDMMC4P_D0","Input/Output","Pull-up / Push-pull","CMOS/Automotive","Speed grade 4","","FAST","VEXT","PU1"
"P20.8","F20","SDMMC4P_D1 / SDMMC4P_DATA1IN","SDMMC4P_D1","Input/Output","Pull-up / Push-pull","CMOS/Automotive","Speed grade 4","","FAST","VEXT","PU1"
"P20.9","E17","QSPI0_M_SEL1","QSPI0_M_SEL1","Output","Push-pull","CMOS/Automotive","Speed grade 4","","FAST","VEXT","PU1"
